statn_nm,direction,time_band,svc_type,plan_p50_sec,plan_n
석촌,하행,새벽,완행,780,7
석촌,하행,새벽,전체,400,12
석촌,하행,점심,급행,660,38
석촌,하행,점심,완행,660,39
석촌,하행,점심,전체,250,77
석촌,하행,출근,급행,380,24
석촌,하행,출근,완행,380,24
석촌,하행,출근,전체,262,48
석촌,하행,퇴근,급행,410,22
석촌,하행,퇴근,완행,410,24
석촌,하행,퇴근,전체,285,46
석촌고분,상행,밤,완행,660,28
석촌고분,상행,밤,전체,660,28
석촌고분,상행,새벽,완행,728,8
석촌고분,상행,새벽,전체,728,8
석촌고분,상행,점심,완행,660,39
석촌고분,상행,점심,전체,660,39
석촌고분,상행,출근,완행,380,25
석촌고분,상행,출근,전체,380,25
석촌고분,상행,퇴근,완행,410,24
석촌고분,상행,퇴근,전체,410,24
석촌고분,하행,밤,완행,660,30
석촌고분,하행,밤,전체,660,30
석촌고분,하행,새벽,완행,780,6
석촌고분,하행,새벽,전체,780,6
석촌고분,하행,점심,완행,660,39
석촌고분,하행,점심,전체,660,39
석촌고분,하행,출근,완행,380,25
석촌고분,하행,출근,전체,380,25
석촌고분,하행,퇴근,완행,410,24
석촌고분,하행,퇴근,전체,410,24
선유도,상행,밤,완행,660,26
선유도,상행,밤,전체,660,26
선유도,상행,새벽,완행,625,9
선유도,상행,새벽,전체,625,9
선유도,상행,점심,완행,660,40
선유도,상행,점심,전체,660,40
선유도,상행,출근,완행,380,24
선유도,상행,출근,전체,380,24
선유도,상행,퇴근,완행,410,25
선유도,상행,퇴근,전체,410,25
선유도,하행,밤,완행,545,34
선유도,하행,밤,전체,545,34
선유도,하행,새벽,완행,810,7
선유도,하행,새벽,전체,810,7
선유도,하행,점심,완행,660,44
선유도,하행,점심,전체,660,44
선유도,하행,출근,완행,505,20
선유도,하행,출근,전체,505,20
선유도,하행,퇴근,완행,480,21
선유도,하행,퇴근,전체,480,21
선정릉,상행,밤,급행,660,22
선정릉,상행,밤,완행,660,27
선정릉,상행,밤,전체,340,50
선정릉,상행,새벽,급행,720,6
선정릉,상행,새벽,완행,720,8
선정릉,상행,새벽,전체,368,14
선정릉,상행,점심,급행,660,38
선정릉,상행,점심,완행,660,39
선정릉,상행,점심,전체,340,77
선정릉,상행,출근,급행,380,24
선정릉,상행,출근,완행,380,25
선정릉,상행,출근,전체,245,49
선정릉,상행,퇴근,급행,410,25
선정릉,상행,퇴근,완행,410,25
선정릉,상행,퇴근,전체,245,50
선정릉,하행,밤,급행,660,27
선정릉,하행,밤,완행,660,31
선정릉,하행,밤,전체,305,59
선정릉,하행,새벽,급행,780,4
선정릉,하행,새벽,완행,780,7
선정릉,하행,새벽,전체,600,11
선정릉,하행,점심,급행,660,39
선정릉,하행,점심,완행,660,40
선정릉,하행,점심,전체,320,79
선정릉,하행,출근,급행,380,23
선정릉,하행,출근,완행,380,23
선정릉,하행,출근,전체,220,46
선정릉,하행,퇴근,급행,410,22
선정릉,하행,퇴근,완행,410,23
선정릉,하행,퇴근,전체,250,45
송파나루,상행,밤,완행,660,29
송파나루,상행,밤,전체,660,29
송파나루,상행,새벽,완행,735,7
송파나루,상행,새벽,전체,735,7
송파나루,상행,점심,완행,660,38
송파나루,상행,점심,전체,660,38
송파나루,상행,출근,완행,380,25
송파나루,상행,출근,전체,380,25
송파나루,상행,퇴근,완행,410,25
송파나루,상행,퇴근,전체,410,25
송파나루,하행,밤,완행,660,29
송파나루,하행,밤,전체,660,29
송파나루,하행,새벽,완행,780,7
송파나루,하행,새벽,전체,780,7
송파나루,하행,점심,완행,660,39
송파나루,하행,점심,전체,660,39
송파나루,하행,출근,완행,380,25
송파나루,하행,출근,전체,380,25
송파나루,하행,퇴근,완행,410,24
송파나루,하행,퇴근,전체,410,24
신논현,상행,밤,급행,660,23
신논현,상행,밤,완행,660,28
신논현,상행,밤,전체,332,52
신논현,상행,새벽,급행,715,6
신논현,상행,새벽,완행,725,8
신논현,상행,새벽,전체,400,14
신논현,상행,점심,급행,660,37
신논현,상행,점심,완행,660,39
신논현,상행,점심,전체,335,76
신논현,상행,출근,급행,380,26
신논현,상행,출근,완행,380,25
신논현,상행,출근,전체,265,51
신논현,상행,퇴근,급행,410,25
신논현,상행,퇴근,완행,410,25
신논현,상행,퇴근,전체,285,50
신논현,하행,밤,급행,660,27
신논현,하행,밤,완행,660,32
신논현,하행,밤,전체,280,60
신논현,하행,새벽,급행,780,4
신논현,하행,새벽,완행,780,7
신논현,하행,새벽,전체,685,11
신논현,하행,점심,급행,660,40
신논현,하행,점심,완행,660,41
신논현,하행,점심,전체,310,81
신논현,하행,출근,급행,382,22
신논현,하행,출근,완행,380,24
신논현,하행,출근,전체,290,46
신논현,하행,퇴근,급행,410,22
신논현,하행,퇴근,완행,410,23
신논현,하행,퇴근,전체,285,45
신목동,상행,밤,완행,660,26
신목동,상행,밤,전체,660,26
신목동,상행,새벽,완행,625,9
신목동,상행,새벽,전체,625,9
신목동,상행,점심,완행,660,40
신목동,상행,점심,전체,660,40
신목동,상행,출근,완행,380,24
신목동,상행,출근,전체,380,24
신목동,상행,퇴근,완행,410,25
신목동,상행,퇴근,전체,410,25
신목동,하행,밤,완행,552,34
신목동,하행,밤,전체,552,34
신목동,하행,새벽,완행,805,7
신목동,하행,새벽,전체,805,7
신목동,하행,점심,완행,660,44
신목동,하행,점심,전체,660,44
신목동,하행,출근,완행,510,20
신목동,하행,출근,전체,510,20
신목동,하행,퇴근,완행,480,21
신목동,하행,퇴근,전체,480,21
신반포,상행,밤,완행,660,27
신반포,상행,밤,전체,660,27
신반포,상행,새벽,완행,720,8
신반포,상행,새벽,전체,720,8
신반포,상행,점심,완행,660,38
신반포,상행,점심,전체,660,38
신반포,상행,출근,완행,380,25
신반포,상행,출근,전체,380,25
신반포,상행,퇴근,완행,410,26
신반포,상행,퇴근,전체,410,26
신반포,하행,밤,완행,660,33
신반포,하행,밤,전체,660,33
신반포,하행,새벽,완행,780,7
신반포,하행,새벽,전체,780,7
신반포,하행,점심,완행,660,42
신반포,하행,점심,전체,660,42
신반포,하행,출근,완행,380,22
신반포,하행,출근,전체,380,22
신반포,하행,퇴근,완행,430,22
신반포,하행,퇴근,전체,430,22
신방화,상행,밤,완행,660,25
신방화,상행,밤,전체,660,25
신방화,상행,새벽,완행,452,10
신방화,상행,새벽,전체,452,10
신방화,상행,점심,완행,660,41
신방화,상행,점심,전체,660,41
신방화,상행,출근,완행,380,23
신방화,상행,출근,전체,380,23
신방화,상행,퇴근,완행,410,24
신방화,상행,퇴근,전체,410,24
신방화,하행,밤,완행,440,35
신방화,하행,밤,전체,440,35
신방화,하행,새벽,완행,832,6
신방화,하행,새벽,전체,832,6
신방화,하행,점심,완행,660,45
신방화,하행,점심,전체,660,45
신방화,하행,출근,완행,530,19
신방화,하행,출근,전체,530,19
신방화,하행,퇴근,완행,502,20
신방화,하행,퇴근,전체,502,20
양천향교,상행,밤,완행,660,26
양천향교,상행,밤,전체,660,26
양천향교,상행,새벽,완행,550,10
양천향교,상행,새벽,전체,550,10
양천향교,상행,점심,완행,660,41
양천향교,상행,점심,전체,660,41
양천향교,상행,출근,완행,380,23
양천향교,상행,출근,전체,380,23
양천향교,상행,퇴근,완행,410,24
양천향교,상행,퇴근,전체,410,24
양천향교,하행,밤,완행,485,35
양천향교,하행,밤,전체,485,35
양천향교,하행,새벽,완행,810,7
양천향교,하행,새벽,전체,810,7
양천향교,하행,점심,완행,660,45
양천향교,하행,점심,전체,660,45
양천향교,하행,출근,완행,515,19
양천향교,하행,출근,전체,515,19
양천향교,하행,퇴근,완행,485,20
양천향교,하행,퇴근,전체,485,20
언주,상행,밤,완행,660,27
언주,상행,밤,전체,660,27
언주,상행,새벽,완행,720,8
언주,상행,새벽,전체,720,8
언주,상행,점심,완행,660,39
언주,상행,점심,전체,660,39
언주,상행,출근,완행,380,25
언주,상행,출근,전체,380,25
언주,상행,퇴근,완행,410,25
언주,상행,퇴근,전체,410,25
언주,하행,밤,완행,660,31
언주,하행,밤,전체,660,31
언주,하행,새벽,완행,780,6
언주,하행,새벽,전체,780,6
언주,하행,점심,완행,660,40
언주,하행,점심,전체,660,40
언주,하행,출근,완행,380,24
언주,하행,출근,전체,380,24
언주,하행,퇴근,완행,410,23
언주,하행,퇴근,전체,410,23
여의도,상행,밤,급행,660,21
여의도,상행,밤,완행,660,26
여의도,상행,밤,전체,380,48
여의도,상행,새벽,급행,720,8
여의도,상행,새벽,완행,720,9
여의도,상행,새벽,전체,335,17
여의도,상행,점심,급행,660,38
여의도,상행,점심,완행,660,40
여의도,상행,점심,전체,318,78
여의도,상행,출근,급행,380,25
여의도,상행,출근,완행,380,24
여의도,상행,출근,전체,280,49
여의도,상행,퇴근,급행,410,25
여의도,상행,퇴근,완행,410,25
